node: ATL, pagerank: 0.00467975
node: IST, pagerank: 0.00441265
node: ORD, pagerank: 0.00429125
node: DEN, pagerank: 0.00426092
node: DFW, pagerank: 0.00418953
node: DME, pagerank: 0.00413453
node: CDG, pagerank: 0.00396359
node: FRA, pagerank: 0.00385721
node: PEK, pagerank: 0.00382948
node: AMS, pagerank: 0.00365858
node: DXB, pagerank: 0.00364487
node: IAH, pagerank: 0.00352955
node: LAX, pagerank: 0.00334245
node: SYD, pagerank: 0.00312532
node: YYZ, pagerank: 0.00303111
node: JFK, pagerank: 0.00302863
node: PVG, pagerank: 0.00290782
node: LHR, pagerank: 0.00290404
node: MSP, pagerank: 0.00288791
node: BOG, pagerank: 0.00288035
node: CAN, pagerank: 0.00285959
node: SIN, pagerank: 0.00284805
node: CLT, pagerank: 0.00280935
node: MUC, pagerank: 0.0027912
node: MIA, pagerank: 0.00277355
node: EWR, pagerank: 0.00274145
node: LAS, pagerank: 0.00271239
node: DTW, pagerank: 0.00268663
node: HKG, pagerank: 0.00268561
node: JNB, pagerank: 0.00263463
node: MAD, pagerank: 0.00263263
node: ICN, pagerank: 0.00262961
node: KUL, pagerank: 0.00260609
node: BKK, pagerank: 0.00260558
node: SVO, pagerank: 0.00257863
node: MEX, pagerank: 0.0025347
node: MNL, pagerank: 0.00251152
node: LGW, pagerank: 0.00247414
node: BCN, pagerank: 0.00246039
node: FCO, pagerank: 0.00245425
node: ARN, pagerank: 0.00243376
node: IAD, pagerank: 0.00241344
node: AEP, pagerank: 0.00237308
node: BET, pagerank: 0.00233416
node: DEL, pagerank: 0.00233307
node: GRU, pagerank: 0.00230815
node: HND, pagerank: 0.00230292
node: PHL, pagerank: 0.00227758
node: BNE, pagerank: 0.00227719
node: ORY, pagerank: 0.00225427
node: STN, pagerank: 0.00225386
node: SEA, pagerank: 0.00225212
node: BRU, pagerank: 0.00224662
node: DOH, pagerank: 0.00221345
node: ANC, pagerank: 0.00220944
node: LED, pagerank: 0.00217789
node: SFO, pagerank: 0.00216324
node: SLC, pagerank: 0.00215961
node: DUS, pagerank: 0.00215953
node: BOS, pagerank: 0.00215615
node: JED, pagerank: 0.00214892
node: NRT, pagerank: 0.00213774
node: YVR, pagerank: 0.00211498
node: MAN, pagerank: 0.00210075
node: BOM, pagerank: 0.00210043
node: YUL, pagerank: 0.00210033
node: CTU, pagerank: 0.00205506
node: VIE, pagerank: 0.00204261
node: AKL, pagerank: 0.00204138
node: ZRH, pagerank: 0.00203066
node: FLL, pagerank: 0.00201626
node: DUB, pagerank: 0.0019997
node: ADD, pagerank: 0.00199622
node: LIM, pagerank: 0.00198872
node: ATH, pagerank: 0.00196966
node: MCO, pagerank: 0.00195661
node: TPE, pagerank: 0.00193222
node: KMG, pagerank: 0.00192853
node: PPT, pagerank: 0.00192377
node: CPH, pagerank: 0.00191917
node: PHX, pagerank: 0.00190851
node: OSL, pagerank: 0.00190282
node: HEL, pagerank: 0.00188702
node: FAI, pagerank: 0.00186152
node: CGK, pagerank: 0.00182048
node: PMI, pagerank: 0.00180708
node: RUH, pagerank: 0.00179375
node: MEL, pagerank: 0.00178801
node: SAW, pagerank: 0.00178154
node: VCP, pagerank: 0.00177763
node: LIS, pagerank: 0.00176754
node: PTY, pagerank: 0.00171445
node: NBO, pagerank: 0.00170361
node: AUH, pagerank: 0.00170052
node: CMN, pagerank: 0.00169266
node: DCA, pagerank: 0.00166953
node: MXP, pagerank: 0.00166178
node: POM, pagerank: 0.00165241
node: THR, pagerank: 0.00165097
node: DMK, pagerank: 0.00160893
node: YYC, pagerank: 0.00160546
node: CKG, pagerank: 0.00160359
node: TXL, pagerank: 0.00159507
node: SHJ, pagerank: 0.00158664
node: AGP, pagerank: 0.00158616
node: CAI, pagerank: 0.00157021
node: XIY, pagerank: 0.0015656
